event_key,discipline_key,placement,original_display,corrected_player_a,corrected_player_b,correction_type,source_note,active,verification_level,verified_by,confidence
1998_vancouver,mixed_doubles_net,2,,Lisa McDaniel Jones,P.T. Lovern,MISSING_PARTNER,Mirror source: Lisa McDaniel (CA) P.T. Lovern (CA),1,source_verified,,HIGH
1998_vancouver,mixed_doubles_net,3,,Julie Symons,Yossarian Kelley,MISSING_PARTNER,Mirror source: Julie Symons (CA) Yossarian Kelley (WA),1,source_verified,,HIGH
1998_vancouver,open_doubles_golf,1,,Jim Fitzgerald,Adam Hutchinson,MISSING_PARTNER,Mirror source: Jim Fitzgerald (OR) Adam Hutchinson (CA),1,source_verified,,HIGH
1998_vancouver,open_doubles_golf,2,,Scott Milne,Chard Cook,MISSING_PARTNER,Mirror source: Scott Milne (BC) Chard Cook (BC),1,source_verified,,HIGH
1998_vancouver,open_doubles_golf,3,,Jon Hayduk,Sean Flynn,MISSING_PARTNER,Mirror source: Jon Hayduk (BC) Sean Flynn (AZ) — TIE with Geoff Hand/Jim Derricott not captured by parser,1,source_verified,,HIGH
1998_vancouver,open_doubles_net,1,,Dave Bernard,Chris Routh,MISSING_PARTNER,Mirror source: Dave Bernard (OR) Chris Routh (AZ),1,source_verified,,HIGH
1998_vancouver,open_doubles_net,2,,Hung Chang,P.T. Lovern,MISSING_PARTNER,Mirror source: Hung Chang (CA) P.T. Lovern (CA),1,source_verified,,HIGH
1998_vancouver,open_doubles_net,3,,Scott Milne,Jim Derricott,MISSING_PARTNER,Mirror source: Scott Milne (BC) Jim Derricott (BC),1,source_verified,,HIGH
1998_vancouver,womens_doubles_net,2,,Lisa McDaniel Jones,Evanne LaMarche,MISSING_PARTNER,Mirror source: Lisa McDaniel (CA) Evanne Lamarche (AZ),1,source_verified,,HIGH
1998_vancouver,womens_doubles_net,3,,Vera DeBaere,Ann Lasken,MISSING_PARTNER,Mirror source: Vera DeBaere (BC) Ann Lasken (DC),1,source_verified,,HIGH
2013_footbagjam_burgas,open_doubles_net,3,,Benjamin Kanske,Stoyan Tsonev,MISSING_PARTNER,Mirror manual results: Benjamin Kanske/Stoyan Tsonev — structured HTML had PHP errors hiding partner,1,source_verified,,HIGH
2013_footbagjam_burgas,open_doubles_net,4,,Dinko Dimitrov,Ivailo Yordanov,MISSING_PARTNER,Mirror manual results: Dinko Dimitrov/Ivailo Yordanov — structured HTML had PHP errors hiding partner,1,source_verified,,HIGH
