event_key,legacy_event_id,year,event_name,event_slug,start_date,end_date,city,region,country,host_club,event_type,status,notes,source
2007_jfk,1173606489,2007,4th Annual JFK Net Battle,4th_annual_jfk_net_battle,2007-05-26,2007-05-27,Jyväskylä,Central Finland,Finland,"Jyväskylän Footbag-klubi, JFK",net,completed,,mirror
2007_montana,1173467292,2007,4th annual Montana Freestyle Jam,4th_annual_montana_freestyle_jam,2007-04-28,2007-04-29,Missoula,Montana,United States,Missoula Footbag Alliance,freestyle,completed,,mirror
2007_footbagjam_warsaw,1189345008,2007,5th Annual Wilanow Footbag Open 2007,5th_annual_wilanow_footbag_open_2007,2007-09-29,2007-09-30,Warsaw,Masovian,Poland,,freestyle,completed,,mirror
2007_swiss_national,1186079315,2007,7th Swiss National Footbag Championship,7th_swiss_national_footbag_championship,2007-09-15,2007-09-16,Aarau,Aargau,Switzerland,unBAGrenzt Aarau,mixed,no_results,,mirror
2007_turku,1177615498,2007,8th Annual Turku Open,8th_annual_turku_open,2007-07-07,2007-07-08,Turku,Southwest Finland,Finland,Footcraft,net,completed,,mirror
2007_de_france_de,1183729267,2007,9e Open de France de Footbag,9e_open_de_france_de_footbag,2007-11-01,2007-11-04,Paris,Île-de-France,France,Rien N'est Hacky - RNH Footbag,mixed,completed,,mirror
2007_eurochamp_vienna,1154685554,2007,9th Annual IFPA European Footbag Championships,9th_annual_ifpa_european_footbag_championships,2007-07-19,2007-07-22,Vienna,,Austria,Footbag-Vienna,freestyle,completed,,mirror
2007_austrian,1185556078,2007,Austrian Footbag Championships 2007,austrian_footbag_championships_2007,2007-09-07,2007-09-09,Linz,Upper Austria,Austria,gravityfighters Linz,mixed,completed,,mirror
2007_championnats_de_france,1177512537,2007,Championnats de France de Footbag,championnats_de_france_de_footbag,2007-06-09,2007-06-10,Carnon-Plage,Occitanie,France,Icarus Footbag,mixed,completed,,mirror
2007_footbagjam_ithaca,1191627566,2007,Cornell Footbag Jam 2,cornell_footbag_jam_2,2007-10-27,2007-10-28,Ithaca,New York,United States,,freestyle,completed,,mirror
2007_finnish,1180373807,2007,Finnish Footbag Championships 2007,finnish_footbag_championships_2007,2007-09-07,2007-09-09,Jyväskylä,Central Finland,Finland,"Jyväskylän Footbag-klubi, JFK",mixed,completed,,mirror
