effective_person_id,person_canon,player_ids_seen,player_names_seen,aliases,alias_statuses,notes,source,person_canon_clean,person_canon_clean_reason,aliases_presentable,exclusion_reason,last_token,norm_key,legacyid
8148fc37-49be-528a-9c17-5461bb17e7f0,Piotr Abramowicz,f45b5ed3-350e-5e4a-95f8-69ade20041a8,Piotr Abramowicz,,,,overrides+data,Piotr Abramowicz,,,,abramowicz,,58878.0
0bc42b4b-243a-5665-9861-217774d91498,Piotr Baltrukiewicz,23f46ab4-b59f-5b0b-952d-0ea95c86c267 | c877ce9e-18fb-519d-b109-0e13bd4fd06e,Piotr Baltrukiewicz | Piotr Ba?trukiewicz,Piotr Ba?trukiewicz,verified,,overrides+data | overrides_only,Piotr Baltrukiewicz,,Piotr Ba?trukiewicz | Piotr Ba trukiewicz,,baltrukiewicz,,
befb0f76-73f3-5021-bfa3-b62e1c6400bd,Piotr Czaja,ebd3734b-bb0a-526e-bbe3-5074307ebeea,Piotr Czaja,,,,overrides+data,Piotr Czaja,,,,czaja,,
52806620-122e-5f7b-837e-3a42859b5d12,Piotr Gryko,3feece23-3f94-53ad-9d75-49ade4f5c475,Piotr Gryko,,,,overrides+data,Piotr Gryko,,,,gryko,,
64336b8d-cd07-5851-a083-617bb0f65bee,Piotr Kosciekny,15864eb2-3672-5181-bdbb-af24d7d341e8 | 8607ef82-2715-5469-80f6-505874c35399 | 897b229d-d05d-553c-b82b-cb537622e957 | c8f0d102-6db1-54cf-9d57-2ff759d4f805 | cc2ed76d-b734-5589-8669-364e9a5d7828 | f0284553-2d84-568c-8623-70bc2dce35d4 | f5b65648-b30f-5034-8bb2-9081814e072d | fc51bae5-c25c-5431-8090-1e1529829f34,Piotr Kosciekny,,,,overrides+data,Piotr Kosciekny,,Piotr Koscielny | Piotr Ko¶cielny | Piotr Kościelny | Piotrek Koscielny | Piotrek Mruwa Koscielny,,kosciekny,,
13d7f6e0-60fa-5d94-8db6-87878b44d4f1,Piotr Krawczyk,61ad457b-96f3-5f9a-be75-3d5d48222255,Piotr Krawczyk,,,,overrides+data,Piotr Krawczyk,,,,krawczyk,,
300b982b-6082-5f36-994b-5c339bcf4f8b,Piotr Kuriata,d46b64ec-e911-5d51-932c-d4a76d4a37ae,Piotr Kuriata,,,,overrides+data,Piotr Kuriata,,,,kuriata,,
cceb5e54-aea1-5282-ac59-6074119056bb,Piotr Kurt,03d1fab2-42e5-5acb-94b8-f4d90c30d3f2,Piotr Kurt,,,,overrides+data,Piotr Kurt,,,,kurt,,
63628c3c-0773-543e-b96f-218f6cd228fe,Piotr Patora,02402bc1-f009-5534-983c-fad31de93fa3 | 59b0f3bc-3bc9-54b0-b09f-131703a79eb7 | cbfa19f8-b9b4-5a8b-adfd-442cd6b8dcae,Piotr Patora,,,,overrides+data,Piotr Patora,,,,patora,,
f72bace0-f194-5284-b023-44f42dc38be3,Piotr Staroscic,12d86574-0db2-5622-8a04-5ef2e7b0b3eb,Piotr Staroscic,,,,overrides+data,Piotr Staroscic,,,,staroscic,,
153997cf-41c0-528b-85ef-d897c3186262,Piotrek Koscielny,0a9a9196-60a8-5193-8f78-7f69938207d2 | 0e731f8b-2a4e-52ea-959d-ac545a017611,Piotrek Koscienlny | Piotrek Koscielny ? Woitjek Jamski,Piotrek Koscielny Woitjek Jamski,,merged from Piotrek Koscielny Woitjek Jamski (0e731f8b),overrides+data,Piotrek Koscienlny,,,,koscienlny,,
b00d61cb-fb0e-586e-8297-38e8dfdf3049,Piotrek Krawczyk,49d2c689-fd57-51e9-8b48-fa45f3b0d673 | afb28ced-dfc6-5c54-ad07-8fec7c614792,Piotrek Krawczyk,,,,overrides+data,Piotrek Krawczyk,,,,krawczyk,,
5ed9f33a-4e08-5ed9-abb2-3b4510895d38,Pip Fulstow,20c61f9b-e5bd-5989-b698-7863e8cccc58,Pip Fulstow,,,,overrides+data,Pip Fulstow,,,,fulstow,,
6f3eb5be-b968-523b-962a-9495c483159e,Plamena Ivanova,2f7acaaf-0184-5793-891d-70ca5e152241 | f68acfca-7241-509c-99d7-f7d85b604ca2,Plamena Ivanova,,,,overrides+data,Plamena Ivanova,,,,ivanova,,
27906256-df7d-5101-8427-d2735d2bda7a,Pomanov Andrey,9f466516-3fa1-5563-949f-c75ad5174cda,Pomanov Andrey,,,,overrides+data,Pomanov Andrey,,,,andrey,,
765859a9-c027-51a9-b47c-0e8da93d568a,Premek Pietrzycki,10f14755-6b94-5502-93cf-eb17eefea339,Premek Pietrzycki,,,,overrides+data,Premek Pietrzycki,,,,pietrzycki,,
e8ee7762-403c-5c08-a4f1-69034a08287b,Priit Jõe,1c241bd9-79a5-50f8-bcaf-eefe851fdf6b,Priit Jõe,,,,overrides+data,Priit Jõe,,,,jõe,,
8c52b3d5-6cba-5f85-ba6d-a5115f33f12a,Priit Kruus,849fe98a-7e55-5c69-9cfc-92ce60f1ea44,Priit Kruus,,,,overrides+data,Priit Kruus,,,,kruus,,
beed13f8-2a6d-580b-beff-448a8a792a0e,Prikhosko Oxana,6424687d-d22e-52cb-9414-3e75c9c5346d | f2e79a36-e7d6-53f8-aa7f-7da79d5e31d4,Prikhosko Oxana,,,,overrides+data,Prikhosko Oxana,,Prihodko Oxana,,oxana,,
a50d8966-7d12-51d9-b9f7-95eb38ad235c,Prokop Laurenz,066a15f1-91b5-58bb-85fb-ebfe9ae0d027,Prokop Laurenz,,,,overrides+data,Prokop Laurenz,,,,laurenz,,
005be06a-604e-5d4d-93d2-b66d50d06418,Przemyslaw Brzezinski,de01a62d-a024-58ed-9a13-2cc5b7556aa5,Przemyslaw Brzezinski,,,,overrides+data,Przemyslaw Brzezinski,,,,brzezinski,,
8a15006e-bc85-5621-bbe6-66090397b7d2,Przemyslaw Pietrzycki,1c1f4073-41a5-5285-92e1-546525961588 | 48183077-c7f6-5a8c-90ef-9b3f64c3489c | 5705e187-bbe6-5683-b7cb-ddb0bf7b718f | 636b476c-5563-5d45-bf4f-fdb68f122024 | 6be95264-218f-5b5c-86bd-99a1bbf9630b | bd383986-010c-569f-bd33-1928ce0d2867,Przemyslaw Pietrzycki,,,,overrides+data,Przemyslaw Pietrzycki,,Przemek Pietrzycki | Przemys Pietrzycki | Przemys?aw Pietrzycki | Przemyslaw Pietricki,,pietrzycki,,79990.0
fadf9ee6-c088-55fb-a64f-66c5607f4847,Pusztai Anna,66944586-eca6-5963-8f75-f803e5a41365,Pusztai Anna,,,,overrides+data,Pusztai Anna,,,,anna,,
202cb90a-850e-5c14-9dc0-93a292f486d3,Quan Theo Phung,d300ccdd-f2bf-5b3e-9554-789058855af7,Quan Theo Phung,,,,overrides+data,Quan Theo Phung,,,,phung,,
