event_key,discipline_key,placement,participant_order,display_name,person_id,notes
event_2011_32nd_ifpa_world_footbag_championships,womens_doubles_net,1,1,Julie Symons,adc70b9b-7496-5ded-8feb-fdc8e9c5d21c,
event_2011_32nd_ifpa_world_footbag_championships,womens_doubles_net,1,2,Jody Welch,e333a5e6-3d76-513c-a9a4-f34c09c31b96,
event_2011_32nd_ifpa_world_footbag_championships,womens_doubles_net,2,1,Geneviève Bousquet,fea99a91-ae13-5cb1-b87f-3c352783dc2e,
event_2011_32nd_ifpa_world_footbag_championships,womens_doubles_net,2,2,Maude Landreville,b69d06e1-49be-5fac-ae61-a9194ef30ee0,
event_2011_32nd_ifpa_world_footbag_championships,womens_doubles_net,3,1,Ninni Liukko,9aca54b3-8989-5d9e-8ca3-b5420d233d8f,
event_2011_32nd_ifpa_world_footbag_championships,womens_doubles_net,3,2,Piia Tantarimäki,1dc7bf3f-8a4d-57b0-912b-b6626fb29cfb,
event_2011_32nd_ifpa_world_footbag_championships,womens_doubles_net,4,1,Kerstin Anhuth,8e17712f-7c8d-5c61-93e2-85d061117be2,
event_2011_32nd_ifpa_world_footbag_championships,womens_doubles_net,4,2,Heike Koller,,
event_2011_32nd_ifpa_world_footbag_championships,womens_doubles_net,5,1,Shirine Daouk,8d44c922-861d-520b-8397-437e225e02f1,
event_2011_32nd_ifpa_world_footbag_championships,womens_doubles_net,5,2,Helena Schlichting,e023aa06-ace7-5617-8145-aaca829f4c54,
event_2011_32nd_ifpa_world_footbag_championships,womens_doubles_net,6,1,Lisa Mcdaniel,f995558d-69d9-557a-892a-0e695d85250b,
event_2011_32nd_ifpa_world_footbag_championships,womens_doubles_net,6,2,Julia Tikhomirova,0b73f6bd-2b2a-57ef-8de6-853138d11297,
event_2011_32nd_ifpa_world_footbag_championships,womens_doubles_net,7,1,Marie-Lou Roy,,
event_2011_32nd_ifpa_world_footbag_championships,womens_doubles_net,7,2,Evgenia Tsybulskaya,5741a906-7ac9-539d-a075-f7b3a86567dd,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,1,1,Tuomas Kärki,e7937047-c7f1-5739-bb84-aceb23c17dd7,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,2,1,François Pelletier,9d9b7019-1c24-54b4-8dfb-75bc689657e2,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,3,1,Matti Pohjola,ddffefad-c620-55ab-b1bc-ca01939671c6,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,4,1,Jean-Francois Lemieux,184a06bb-be96-5120-9a7c-1676f2b01a2a,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,5,1,Jani Markkanen,0dee73bb-caed-5f5c-9c20-5ea946939871,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,6,1,Victor Lezama,2cfacf64-c589-5b3a-bf00-d42be8c82c8e,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,7,1,Luke Legault,b3b2232e-40c2-5a99-bf1f-aa3e4f5b569c,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,8,1,Oskari Forstém,111079c7-b085-530e-b4da-68e9b975803e,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,9,1,Florian Götze,ab966624-6643-5dea-b165-67e66af402f9,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,10,1,Lino Landau,fbf52ca9-ba84-50bc-bce9-0244718c18e7,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,11,1,Karim Daouk,eb025239-b9ab-5cef-9307-7639f88a225a,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,12,1,Antonio Fritsch,34055beb-ed72-59a5-9b38-c5ffbac4d70e,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,13,1,Jack Harris,7c8cfb20-ed0b-5203-89ea-46dea3ebf0e0,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,14,1,Philippe Lessard,87216aed-3048-50f7-8c54-d7e9e7bb52f3,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,15,1,John Leys,3b938feb-b4c7-59a1-929f-7b62be77c1ce,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,16,1,Greg Lima,c7a23f15-f2ed-5f2b-ac50-bb1adb185475,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,17,1,Yves Kreil,b274fbcc-9283-5e2e-9c68-704f3212796e,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,18,1,Sébastian Duchesne,6dd904b7-11c6-5d62-af34-dad61040e67e,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,19,1,Yassin Khateeb,4f12fea1-3237-5a49-bc94-31fd3e10d91c,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,20,1,Alexander Smirnov,9b0f06c8-7ef6-5145-9e2b-e80c48a06615,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,21,1,Tuan Vu,28565dd0-2196-5404-bf23-6cf0617ce79b,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,22,1,Markus Kaspczak,9c8376c9-68ea-572f-abe2-822871cf0e7b,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,23,1,Vesa Ruuskanen,b6a71d11-bab9-59b1-b716-117ed2dc36c0,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,24,1,Henrik Martikainen,63b42121-63a4-5b68-a8b3-cceb8d6d4420,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,25,1,Justin Sexton,092d4205-dbd7-59e7-8ec4-53b306eb83b3,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,26,1,Grischa Tellenbach,ec1d5118-cd4b-591f-a84a-04bbe20868bc,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,27,1,Tammo Rockel,ecf4cab4-a4f2-549d-85fb-5d8528db3948,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,28,1,Sébastian Maillet,a9518594-35d9-53cd-8e8d-a7bc4de94236,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,29,1,Carlos Márquez,dfb408b6-d225-5b9f-b1c7-3f9a76c4319a,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,30,1,Hakan Hellberg,1a1b1397-a4b8-5826-b51d-ff5391eba110,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,31,1,Amaya Straeten,6e1b0db3-cea0-598f-a6a4-b099fe5c8161,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,32,1,Oscar Loreto,3f78b9d6-0b17-5661-8280-f98ad91dadf1,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,33,1,Yves Mingard,c4f49339-ef54-500b-bedc-3e3ae2e081e1,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,34,1,Mouss Kabbal,897d9022-b9cd-5d56-b9c8-19d31f38b5a7,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,35,1,Timo Vorne,5d0a7015-9291-561a-aad6-a1ac57d3454d,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,36,1,Jyri Ilama,8769fa9e-200a-505d-b008-889add42a38b,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,37,1,Guillaume Degat,dad697e8-36ed-598e-84b3-8105a2868685,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,38,1,Evgeni Shiryaev,24fb402d-fa5a-53c4-9d1a-e2c4667ccd4d,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,39,1,Justin Eichenlaub,c476f406-2f03-5f67-88aa-f90dcc36ac42,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,40,1,Chris Löw,59b9b60b-1697-54f8-98d1-eaed43e99f65,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,41,1,Wojciech Jamski,2fe08509-fcb3-5ecd-8828-40411bc4a036,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,42,1,Miquel Clemente,2eaccb7b-430c-5678-b982-9415b20b24cf,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,43,1,Micha Klimczak,71b15435-b697-536a-8886-7d68c1369069,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_net,44,1,Maciej Samborowski,514d386e-d6e1-5342-b2a1-6429daf35c0c,
