event_key,discipline_key,placement,score_text,notes,source
event_2011_32nd_ifpa_world_footbag_championships,womens_singles_net,4,,,
event_2011_32nd_ifpa_world_footbag_championships,womens_singles_net,5,,,
event_2011_32nd_ifpa_world_footbag_championships,womens_singles_net,6,,,
event_2011_32nd_ifpa_world_footbag_championships,womens_singles_net,7,,,
event_2011_32nd_ifpa_world_footbag_championships,womens_singles_net,8,,,
event_2011_32nd_ifpa_world_footbag_championships,womens_singles_net,9,,,
event_2011_32nd_ifpa_world_footbag_championships,intermediate_doubles_net,1,,,
event_2011_32nd_ifpa_world_footbag_championships,intermediate_doubles_net,2,,,
event_2011_32nd_ifpa_world_footbag_championships,intermediate_doubles_net,3,,,
event_2011_32nd_ifpa_world_footbag_championships,intermediate_doubles_net,4,,,
event_2011_32nd_ifpa_world_footbag_championships,intermediate_singles_net,1,,,
event_2011_32nd_ifpa_world_footbag_championships,intermediate_singles_net,2,,,
event_2011_32nd_ifpa_world_footbag_championships,intermediate_singles_net,3,,,
event_2011_32nd_ifpa_world_footbag_championships,intermediate_singles_net,4,,,
event_2011_32nd_ifpa_world_footbag_championships,intermediate_singles_net,5,,,
event_2011_32nd_ifpa_world_footbag_championships,masters_singles_net,1,,,
event_2011_32nd_ifpa_world_footbag_championships,masters_singles_net,2,,,
event_2011_32nd_ifpa_world_footbag_championships,masters_singles_net,3,,,
event_2011_32nd_ifpa_world_footbag_championships,masters_singles_net,4,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_routines,1,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_routines,2,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_routines,3,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_routines,4,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_routines,5,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_routines,6,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_routines,7,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_routines,8,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_routines,9,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_routines,13,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_routines,17,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_routines,21,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_routines,25,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_routines,31,,,
event_2011_32nd_ifpa_world_footbag_championships,open_singles_routines,36,,,
event_2011_32nd_ifpa_world_footbag_championships,open_circle_contest,1,,,
event_2011_32nd_ifpa_world_footbag_championships,open_circle_contest,2,,,
event_2011_32nd_ifpa_world_footbag_championships,open_circle_contest,3,,,
event_2011_32nd_ifpa_world_footbag_championships,open_circle_contest,4,,,
event_2011_32nd_ifpa_world_footbag_championships,open_circle_contest,5,,,
event_2011_32nd_ifpa_world_footbag_championships,open_circle_contest,9,,,
event_2011_32nd_ifpa_world_footbag_championships,open_circle_contest,13,,,
event_2011_32nd_ifpa_world_footbag_championships,open_circle_contest,16,,,
event_2011_32nd_ifpa_world_footbag_championships,open_circle_contest,26,,,
event_2011_32nd_ifpa_world_footbag_championships,open_circle_contest,36,,,
