section,subsection,sort_order,category,division,year,rank,person_or_team,partner,score,note,event_date,event_name,location
Milestone Firsts,Singles milestone first,1306,Consecutive Kicks,Open Singles,,,Andy Linder,,30000,,,,
Milestone Firsts,Singles milestone first,1307,Consecutive Kicks,Open Singles,,,Ted Martin,,40000,,,,
Milestone Firsts,Singles milestone first,1308,Consecutive Kicks,Open Singles,,,Ted Martin,,50000,,,,
Milestone Firsts,Singles milestone first,1309,Consecutive Kicks,Open Singles,,,Ted Martin,,60000,,,,
Milestone Firsts,Singles milestone first,1310,Consecutive Kicks,Women's Singles,,,Tricia George,,,Tricia George was the first woman to reach each singles milestone through 20000,,,
Milestone Firsts,Timed singles milestone first,1311,Consecutive Kicks,Open Singles Timed,,,Derrick Fogle,,750,,,,
Milestone Firsts,Timed singles milestone first,1312,Consecutive Kicks,Open Singles Timed,,,Gary Lautt,,800,,,,
Milestone Firsts,Timed singles milestone first,1313,Consecutive Kicks,Open Singles Timed,,,Ken Shults,,900,,,,
Milestone Firsts,Timed singles milestone first,1314,Consecutive Kicks,Open Singles Timed,,,Andy Linder,,1000,,,,
Milestone Firsts,Timed singles milestone first,1315,Consecutive Kicks,Women's Singles Timed,,,Sam Conlon,,700,,,,
Milestone Firsts,Timed singles milestone first,1316,Consecutive Kicks,Women's Singles Timed,,,Tricia George,,750,,,,
Milestone Firsts,Timed singles milestone first,1317,Consecutive Kicks,Women's Singles Timed,,,Ida Fogle,,800,,,,
Milestone Firsts,Doubles milestone first,1318,Consecutive Kicks,Open Doubles,,,Jim Caveney,Gary Lautt,25000,,,,
Milestone Firsts,Doubles milestone first,1319,Consecutive Kicks,Open Doubles,,,Ted Martin,Andy Linder,50000,,,,
Milestone Firsts,Doubles milestone first,1320,Consecutive Kicks,Open Doubles,,,Jim Caveney,Gary Lautt,75000,,,,
Milestone Firsts,Doubles milestone first,1321,Consecutive Kicks,Open Doubles,,,Ted Martin,Andy Linder,100000,,,,
Milestone Firsts,Doubles milestone first,1322,Consecutive Kicks,Women's Doubles,,,Constance Constable,Marie Elsner,20000,,,,
Milestone Firsts,Doubles milestone first,1323,Consecutive Kicks,Women's Doubles,,,Constance Constable,Tricia George,30000,,,,
